2,4-ດີອີເອສ	2,4-滴乙基硫酸钠
ການຕາຍຂອງສັດກ່ອນເກີດ	胚胎期死亡
ການຕາຍຈາກຍອດຂອງປ່າໄມ້	森林病理学
ການຕິດຕັ້ງອຸປະກອນໄຟຟ້າ	电器装置
ການຕິດຕັ້ງແກ້ວ	玻璃装配
ການຕິດຕາມ	监测
ການຕິດຕາມທາງຊີວະພາບ	生物监测
ການຕິດຕາມສິ່ງແວດລ້ອມ	环境监测
ການຕິດຕໍ່ສື່ສານລະຫວ່າງສັດ	动物间交流
ການຕິດເຊື້ອຂອງຕ່ອມເທິງຫມາກໄຂ່ຫຼັງ	肾上腺病
ການຕິດເຊື້ອແມ່ທ້ອງກົມ	线虫感染
ການຕົກໄຂ່	排卵
ການຕໍ່ຕົ້ນໄມ້	嫁接
ການຖອດລະຫັດປີ້ນກັບ	反转录
ການຖືກກັກຂັງ	蓄养
ການຖືພານອກມົດລູກ	宫外孕
ການຖ່າຍທໍາຮູບເງົາ	电影术
ການຖ່າຍເທຄວາມຮ້ອນ	热量输送
ການຖ່າຍເອກສະເຣຫົວໃຈແລະເສັ້ນເລືອດ	心血管造影
ການທົດລອງການຕິດເຊື້ອ	实验感染
ການທົດລອງທາງແພດ	临床试验
ການທົດລອງໃນພື້ນທີ່ຊາວກະສິກອນ	实地考察
ການທົດສອບການຈັບກຸ່ມຂອງເມັດເລືອດແດງ	血凝反应
ການທົດສອບການຕົກຕະກອນຂອງພູມຄຸ້ມກັນ	免疫沉淀反应
ການທົດສອບການແຜ່ກະຈາຍຂອງພູມຄຸ້ມກັນ	免疫扩散试验
ການທົດສອບດ້ວຍການຈັບກຸ່ມ	凝集试验
ການທົດສອບປະຕິກິລິຍາທີ່ທໍາໃຫ້ເປັນກາງ	中和试验
ການທົດສອບຜິວຫນັງ	皮肤试验
ການທົດສອບສົມມຸດຕິຖານສະຖິຕິ	假设检定
ການທົດສອບແບບອະນຸລັກ	非破坏性试验
ການທົດແທນການນໍາເຂົ້າ	进口替代
ການທົດແທນຄວາມຮ້ອນ	热量回收
ການທົນຕໍ່ພະຍາດ	免疫细胞
ການທ່າຍໂອນແບບກໍາມະພັນ	遗传转化
ການທໍາຄວາມສະອາດຮ່ອງນ້ໍາ	沟渠清理
ການທໍາລາຍການພັກຕົວ	打破休眠
ການທໍາລາຍທາດພິດ	解毒
ການທໍາລາຍທາດຢາງ	脱胶
ການທໍາລາຍທາດລິກນິນ	除去木质素
ການທໍາລາຍທາດອາຍ	脱气
ການທໍາລາຍນ້ໍາຕານ	脱糖
ການທໍາລາຍສີຂຽວ	催色
ການທໍາລາຍເກືອແຮ່	脱矿质
ການທໍາລາຍໄຂດ້ວຍອຸນຫະພູມຕ່ໍາ	冬化处理
ການນຢັບຢັງດ້ວຍແສງ	光抑制
ການນວດໃຫ້ອ່ອນ	嫩化
ການນັບຈຸລັງຮ່າງກາຍ	活细胞数
ການນໍານ້ໍາມາໃຊ້ຄືນ	循环用水
ການນໍາພືດເຂົ້າມາປູກ	植物引种
ການນໍາສັດເຂົ້າມາລ້ຽງ	动物引种
ການນໍາໃຊ້	用途
ການນໍາໃຊ້ຄອມພິວເຕີ	计算机应用
ການນໍາໃຊ້ທີ່ດິນ	土地利用
ການນໍາໃຊ້ທີ່ດິນອະເນກປະສົງ	土地多重利用
ການນໍາໃຊ້ທີ່ດິນແບບຂະຫຍາຍ	土地粗放利用
ການນໍາໃຊ້ປະດັບ	装饰用途
ການນໍາໃຊ້ອະເນກປະສົງ	多种用途
ການນໍາໃຊ້ເພື່ອອຸດສະຫະກໍາ	工业用途
ການນໍາໃຊ້ແບບພື້ນເມືອງ	传统用途
ການບັງຄັບ	强制
ການບັງຄັບໃຫ້ກິນ	强制肥育
ການບັນຈຸກະປ໋ອງ	罐藏
ການບັນຈຸພາຍໃຕ້ບັນຍາກາດຂອງອາຍ	充气包装
ການບັນຈຸແກ້ວ	瓶装
ການບັນຈຸແຄັບຊຸນຂະນາດນ້ອຍ	微囊化作用
ການບັນທຶກການໃຫ້ນົມ	产奶纪录
ການບັນເທົາທຸກແບບສຸກເສີນ	紧急救济
ການບຸກເບີກພື້ນທີ່	清理地面
ການບົກແຫ້ງ(ນ້ໍາ)	晒干
ການບົດດິນດ້ວຍລູກກີ້ງ	压地
ການບົດໄທ້ຫມຸ່ນ	破碎
ການບົ່ງມະຕິດ້ວຍການກວດຫາພຸມຄຸ້ມກັນ	免疫诊断
ການບົ່ງມະຕິທີ່ສົມທຽບໃສ່ກັບພະຍາດອື່ນທີ່ຄ້າຍຄືກັນ	鉴别诊断
ການບົ່ງມະຕິພະຍາດໃນໄລຍະເລີ້ມຕົ້ນ	早期诊断
ການບົ່ງມະຕີພະຍາດສັດ	诊断
ການບໍລິການ	服务
ການບໍລິການຂໍ້ມູນຂ່າວສານ	信息服务
ການບໍລິການຂໍ້ມູນທາງອິນເທີເນັດ	网际网路资讯服务
ການບໍລິການທຸລະກິດຂໍ້ມູນຂ່າວສານ	市场信息服务
ການບໍລິການສັງຄົມ	社会福利事业
ການບໍລິການສຸຂະພາບ	卫生机构
ການບໍລິການແບບມືອາຊີບ	专业性劳务
ການບໍລິຫານຂອງລັດ	公共管理
ການບໍລິຫານຕົນເອງ	自主经营
ການບໍລິໂພກໃນຄົວເຮືອນ	家庭消费
ການບໍລິໂພກໃນພື້ນທີ່ກະສິກໍາ	农场内消费
ການບໍາບັດກ່ອນການປູກ	植前处理
ການບໍາບັດດິນ	土壤处理
ການບໍາບັດດ້ວຍຄວາມຮ້ອນ	加热处理
ການບໍາບັດດ້ວຍຍູເອັດທີ	超高温处理
ການບໍາບັດດ້ວຍໄມໂຄຣເວບ	微波处理
ການບໍາບັດທາງອາຫານ	食物疗法
ການບໍາບັດນ້ໍາເປື້ອນ	废水处理
ການບໍາບັດບໍ່ໃຊ້ອາກາດ	厌氧处理
ການບໍາບັດຮາກ	根处理
ການບໍາບັດແກ່ນພັນ	种子处理
ການບໍາລຸງຮັກສາ	保养
ການບໍາລຸງຮັກສາເຄື່ອງມື	维护设备
ການບໍ່ເຄື່ອນໄຫວ	固定化技术
ການປອກເປືອກ	削皮
ການປະກັນໄພ	保险
ການປະກັນໄພການສົ່ງອອກ	出口保险
ການປະກັນໄພສັດລ້ຽງ	牲畜保险
ການປະກັນໄພສຸຂະພາບ	健康保险
ການປະຕິບັດການຄົ້ນຄວ້າ	运筹学
ການປະຕິບັດການປ່າໄມ້	森林操作
ການປະຕິບັດກ່ອນການເກັບກ່ຽວ	收获前处理
ການປະຕິບັດຕໍ່ສັດ	动物生产性能
ການປະຕິວັດ	革命
ການປະຕິສໍາພັນຂອງຢີນ	基因交互作用
ການປະຕິສໍາພັນແວດລ້ອມແບບຢິນ	遗传型环境互应
ການປະຕິຮູບການສຶກສາ	教育改革
ການປະຕິຮູບທີ່ດິນ	土地改革
ການປະມົງ	渔业
ການປະມົງຂະນາດນ້ອຍ	小型手工渔业
ການປະມົງນ້ໍາກ່ອຍ	河口渔业
ການປະມົງນ້ໍາເລິກ	底层渔业
ການປະມົງຜິວນ້ໍາ	中上层渔业
ການປະມົງສັດນ້ໍາຫຼາຍຊະນິດ	多种类渔业
ການປະມົງສັດເປືອກແຂງ	贝类渔业
ການປະມົງຫອຍມຸກ	珍珠渔业
ການປະມົງເກີນຂີດຈໍາກັດ	过度捕捞
ການປະມົງໃນຫນອງທໍາມະຊາດ	湖泊渔业
ການປະມົງໃນແມ່ນ້ໍາ	河流渔业
ການປະຢັດ	储蓄
ການປະສົມ	混合
ການປະສົມຂ້າມພັນລະຫວ່າງພຶດຕະກຸນຫມາກກ້ຽງ	柑桔科
ການປະສົມດິນ	掺合(土壤)
ການປະສົມຕົວເອງ	自体受精
ການປະສົມພັນ	受精
ການປະສົມພັນກົງປີ້ນ	正反交
ການປະສົມພັນດ້ວຍເກສອນ	闭花受精
ການປະສົມພັນທາງທໍາມະຊາດ	天然杂交
ການປະເມີນຄວາມສ່ຽງ	风险评估
ການປະເມີນທີ່ດິນ	土地评估
ການປະເມີນຜະລິດຕະຜົນ	资源评价
ການປະເມີນຜົນກະທົບກ່ອນເຮັດໂຄງການ	影响评价预评估
ການປະເມີນຜົນກະທົບທາງສິ່ງແວດລ້ອມ	环境影响评价
ການປະເມີນຜົນໂຄງການ	项目评估
ການປະເມີນມູນຄ່າ	评价
ການປະເມີນເທັກໂນໂລຊີ	技术评估
ການປັກຊໍາ	插条
ການປັກຫຼັກ	打桩
ການປັບກະດູກທີ່ແຕກໃຫ້ເຂົ້າຢູ່ບ່ອນເກົ່າ	骨折固定
ການປັບຕົວ	适应性
ການປັບປຸງ	复垦
ການປັບປຸງການຕັດຟັນ	改进伐
ການປັບປຸງດິນ	土壤改良
ການປັບປຸງທີ່ດິນ	土地改良
ການປັບປຸງບ່ອນຢູ່ອາໃສ	生境改良
ການປັບປຸງພັນຂ້າມ	杂交繁育
ການປັບປຸງພັນໃກ້ສາຍພັນ	近亲交配
ການປັບປຸງພື້ນທີ່ປ່າ	成林抚育
ການປັບປຸງແນວພັນປີ້ນກັບ	辐合改进
ການປັບປ່ຽນຂອງອຸນຫະພູມ	逆温
ການປັບປ່ຽນດ້ານຊີວະສາດ	生物转化
ການປັບລະດັບຫນ້າດິນ	土地平整
ການປັບສະພາບເນື້ອໄມ້	木材调温调湿
ການປັບອາກາດ	空气调节
ການປັບໃຫ້ເຂົ້າກັບທ້ອງຖິ່ນ	驯化
ການປັ່ນຝ້າຍ	轧棉
ການປາດລອກຊີ້ນໂດຍວິທີກົນຈັກ	机械剔骨肉
ການປິ່ນປົວດ້ວຍຄື້ນສຽງ	超声波处理
ການປິ່ນປົວທີ່ໃຊ້ຢານ້ອຍທີ່ສຸດ	同种疗法
ການປິ່ນປົວພະຍາດ	治疗
ການປິ່ນປົວພະຍາດດ້ວຍລັງສີ	放射线疗法
ການປິ່ນປົວພະຍາດໂດຍການໃຊ້ຢາ	药物治疗
ການປິ່ນຫນີສູນ	离心
ການປຸງແຕ່ງຂໍ້ມູນ	资料整理
ການປຸງແຕ່ງຂໍ້ມູນຂ່າວສານ	信息处理
ການປຸງແຕ່ງປາ	鱼类加工
ການປຸງແຕ່ງແບບສະຫະກອນ	协作处理
ການປູກຖ່າຍຜິວຫນັງ	皮移植术
ການປູກປ່າ	造林
ການປູກປ່າແບບລະອຽດ	集约造林
ການປູກປ່າໃນເນື້ອທີ່ເປົ່າຫວ່າງ	造林业
ການປູກຝັງ	栽培
ການປູກຝັງທີ່ມີການປ້ອງກັນ	保护地栽培
ການປູກພືດກ້ອງຮົ່ມຕົ້ນໄມ້	树下栽植
ການປູກພືດຄືນໃຫມ່	再种植
ການປູກພືດຊະນິດດຽວຊ້ໍາໃນພື້ນທີ່ເດີມ	单作
ການປູກພືດດ່ຽວ	单一耕作
ການປູກພືດດ້ວຍຮາກເປື່ອຍ	露根栽植
ການປູກພືດຕາມລະດູການ	季节性种植
ການປູກພືດທັນຍາຫານສອງລະດູ	双季栽培
ການປູກພືດທັນຍາຫານແບບປະສົມ	混作
ການປູກພືດທັນຍາຫານແບບຫມູນວຽນ	轮作
ການປູກພືດຫຼາຍຊະນິດ	复种
ການປູກພືດຫຼາຍຊະນິດໃນພື້ນທີ່ດຽວ	截根法
ການປູກພືດອາຍຸສັ້ນ	填闲种植
ການປູກພືດເປັນກຸ່ມ	丛植
ການປູກພືດເປັນລະຍະ	阶段耕作
ການປູກພືດເປັນແລວຍາວ	等高条播
ການປູກພືດແບບຂັ້ນໄດ	梯田栽培
ການປູກພືດແບບຂຸດອ້ອມ	带土栽植
ການປູກພືດແບບຕໍ່ເນື່ອງ	连作
ການປູກພືດແບບຫມູນວຽນ	旋耕
ການປູກພືດໂດຍບໍ່ໄດ້ໄຖພວນ	免耕制
ການປູກພືດໃຊ້ລະບົບນ້ໍາຝົນ	雨养农业
ການປູກຫມາກລາແຊ້ງ	葡萄栽培
ການປູກເຊື້ອໃສ່ຮາກ	根接种
ການປູກເທົາທະເລ	海藻养殖
ການປູກໄມ້ພຸ່ມຫຼັງການປູກພືດທັນຍາຫານ	灌丛休闲地
ການປູກໄມ້ໃສ່ໂຖ	盆栽
ການປູກໄມ້ໃຫ້ຫມາກ	果树栽培
ການປົກຄອງ	治理
ການປົກຄຸມດິນດ້ວຍຂີ້ເຫຍື້ອ	覆土
ການປົກຄຸມດ້ວຍຫິມະ	积雪
ການປົກປ້ອງປ່າໄມ້	森林保护学
ການປົນເປື້ອນດ້ວຍທາດກໍາມະລັງສີ	放射性污染
ການປົນເປື້ອນທາງຊີວະພາບ	生物污染
ການປົວພະຍາດໂດຍໃຊ້ຄວາມຮ້ອນ	温热疗法
ການປົ່ງຮາກ	生根
ການປ່ອຍປະພື້ນທີ່ໃຫ້ຝື້ນຕົວ	休耕地
ການປ່ອຍໃຫ້ກິນຕະຫຼອດ	连续放牧
ການປ່ຽນອາຊີບ	更换职业
ການປ່ຽນຮູບຮ່າງ	形态发生
ການປ່ຽນແທນທາງນິເວດ	生态演替
ການປ່ຽນແປງຂອງລະດູການ	季节变化
ການປ່ຽນແປງທາງເຕັກໂນໂລຊີ	科技变革
ການປ່ຽນແປງພະລັງງານ	能量代谢
ການປ່ຽນແປງສາຍພັນບໍ່ມີເພດ	克隆变异
ການປ່ຽນແປງຮູບຮ່າງ	变态
ການປ່ຽນແປງຮ່າງກາຍບໍ່ມີເພດ	体细胞克隆变异
ການປ່ຽນແປງໂຄງສ້າງ	结构变化
ການປ້ອງກັນການເກີດຫມາກເຫັບ	冰雹控制
ການປ້ອງກັນຂີ້ຝຸ່ນ	粉尘防护
ການປ້ອງກັນທາງຊີວະພາບ	生物除污
ການປ້ອງກັນພະຍາດດ້ວຍສານເຄມີ	化学预防
ການປ້ອງກັນພື້ນທີ່ປ່າ	林木保护
ການປ້ອງກັນລົມ	防风
ການປ້ອງກັນສຸຂະພາບ	保健
ການປ້ອງກັນຫມອກກ້າມ	防霜
ການປ້ອງກັນແກ່ນພັນ	拌种
ການຜະລິດຂົນ	羊毛生产
ການຜະລິດທາງຊີວະພາບ	生物生产量
ການຜະລິດນ້ໍານົມ	乳品生产
ການຜະລິດປາ	渔业生产
ການຜະລິດປ່າໄມ້	林业生产
ການຜະລິດພະລັງງານ	能源产生
ການຜະລິດພືດ	植物生产
ການຜະລິດຢ່າງຫຼາກຫຼາຍ	经营多样化
ການຜະລິດສັດ	畜牧生产
ການຜະລິດເຂົ້າຈີ່	面包制造
ການຜະລິດເມັດພັນປະສົມ	配制杂交种
ການຜະລິດເຫຼົ້າແວງ	酿酒
ການຜະລິດໄມ້	林木生产
ການຜະສົມພັນທຽມ	人工授精
ການຜັງເມືອງ	城市规划
ການຜິດປົກກະຕິຂອງເລືອດ	血液紊乱
ການຜິດປົກກະຕິທາງຮູບຮ່າງ	畸形
ການຜົ່ນດ້ວຍປະລິມານຕ່ໍາ	低量喷施
ການຜົ່ນສານໃນປະລິມານນ້ໍານ້ອຍທີ່ສຸດ	超低量喷施
ການຜ່າຕັດ	外科手术操作
ການຜ່າຕັດກະເພາະຫມັກ	瘤胃切开术
ການຜ່າຕັດຊ່ວງທ້ອງ	剖腹术
ການຜ່າຕັດມ້າມ	脾切除术
ການຜ່າຕັດສະຫມອງ	神经外科
ການຜ່າຕັດຫມາກໃຂ່ຫຼັງ	肾切除术
ການຜ່າຕັດຫຼອດລົມ	气管切开术
ການຜ່າຕັດເຕົ້ານົມ	乳房切除术
ການຜ່າເຄິ່ງ	等分
ການຝັງຕົວຂອງໄຂ່	着床
ການຝຶກຫັດຄູ	师资培训
ການຝຶກອົບຮົມ	培训
ການຝຶກອົບຮົມກະສິກໍາ	农业培训
ການຝຶກອົບຮົມຄູ	师资培训
ການຝຶກອົບຮົມວິຊາຊີບ	职业培训
ການພັກຕົວ	休眠
ການພັກຕົວກ່ອນໄລຍະສືບພັນ	滞育
ການພັກຜ່ອນຢ່ອນໃຈ	休闲
ການພັດທະນາກະສິກໍາ	农业发展
ການພັດທະນາຂອງຫນໍ່ລູກ	胚胎发育
ການພັດທະນາຂອງຮ່າງກາຍ	骨骼发育
ການພັດທະນາຕາມລະດູການ	季节性发育
ການພັດທະນາປ່າໄມ້	林业发展
ການພັດທະນາເດັກ	儿童发育
ການພັດທະນາເສຖະກິດສັງຄົມ	社会经济发展
ການພັດທະນາແບບຍືນຍາວ	可持续发展
ການພັດທະນາແບບຍືນຍົງ	可持续发展
ການພິສູດສົບຫຼັງຈາກຕາຍ	尸体剖检
ການພົວພັນຊົນນະບົດກັບຕົວເມືອງ	城乡关系
ການພົວພັນລະຫວ່າງແຫຼ່ງສ້າງແລະແຫຼ່ງຮັບ	源-库关系
ການຟອກໃຫ້ຂາວ	漂烫
ການຟັກໄຂ່	人工孵化
ການຟື້ນຕົວທາງເສດຖະກິດ	经济恢复
ການຟື້ນຟູປ່າໄມ້	森林复原
ການຟື້ນຟູອາຊີບ	疗养
ການມອບໂອນຊັບສິນ	财产转让
ການມອບໂອນທີ່ດິນ	土地流转
ການມີກິ່ນເຫມັນ	油脂酸败
ການມີພູມຄຸ້ມກັນຕໍ່ພະຍາດ	免疫复合物
ການມີສ່ວນຮ່ວມຂອງຊາວກະສິກອນ	农民参与
ການມີສ່ວນຮ່ວມຂອງປວງຊົນ	公众参与
ການມີສ່ວນຮ່ວມຂອງຜູ້ບໍລິໂພກ	消费者参与
ການມີສ່ວນຮ່ວມຂອງພົນລະເມືອງ	公民参与
ການມີສ່ວນຮ່ວມຂອງແມ່ຍີງ	妇女参与
ການມີຫຼາຍຫນໍ່ລູກ	多胚
ການຢອດແກ່ນ	条播
ການຢັບຢັ້ງການເຕີບໂຕ	生长抑制
ການຢັ້ງຢືນເມັດພັນ	种子检定
ການຢືດໂຕຂອງຈຸລັງ	细胞伸长
ການຢືດໂຕຍາວອອກຂອງເມັດລະອອງເກສອນ	花粉延长
ການຢູ່ລອດ	生存
ການຢູ່ລອດຂອງພືດ	植物健康状况
ການຣິດິວນ້ໍາຕານ	还原糖
ການລວມຕົວຄືນໃຫມ່	重组
ການລວມຕົວຄືນໃຫມ່ຂອງໂພຼຕິນ	重组蛋白
ການລອກກະດູກ	剔骨
ການລອກເປືອກ	剥皮
ການລະບາຍນ້ໍາຈາກເຂື່ອນກັ້ນນ້ໍາ	开沟排水
ການລະບາຍນ້ໍາເທິງຫນ້າດິນ	地表排水
ການລະບາຍນ້ໍາເປື້ອນ	污水处理
ການລະບາຍນ້ໍາໃຕ້ຫນ້າດິນ	地下排水
ການລະບາດຂອງພືດນ້ໍາ	富营养化
ການລະເຫີຍເປັນອາຍ	挥发
ການລິກີ່ງແລະໃບ		修剪
ການລຸດຜ່ອນສິ່ງເສດເຫຼືອ	废弃物整理
ການລຸລູກ	流产
ການລົງທຶນ	投资
ການລົງທຶນຂອງຕ່າງປະເທດ	国外投资
ການລົດຄ່າເງິນ	贬值
ການລົດນ້ໍາຫນັກໂດຍຫຼຸດຜ່ອນການໃຫ້ອາຫານ	减重日粮
ການລົດລົງຂອງປ່າ	森林坡降
ການລົບກວນຂອງບັນຍາກາດ	大气扰动
ການລ່າສັດ	捕猎
ການລ້າງ	洗涤
ການລ້ຽງຂີ້ກະເດືອນ	蚯蚓养殖
ການລ້ຽງນົກ	禽类饲养
ການລ້ຽງມ້າແບບຂັງ	圈养
ການລ້ຽງສັດກຸ່ມຄຣັສຕາຊຽນ	甲壳类养殖
ການລ້ຽງສັດນ້ໍາ	水产养殖
ການລ້ຽງສັດນ້ໍາທີ່ມີເປືອກແຂງ	贝类养殖
ການລ້ຽງສັດນ້ໍາໃນກະຊັງ	网箱养殖
ການລ້ຽງສັດຫຼາຍຊະນິດຮ່ວມກັນ	混养
ການລ້ຽງສັດເພື່ອການລ່າສັດ	野生动物饲养业
ການລ້ຽງສັດແບບທໍາມະຊາດ	粗放管理
ການລ້ຽງສັດແບບເຄື່ອນທີ່	季节性迁徙放牧
ການລ້ຽງສັດໃນລະດູຫນາວ	越冬
ການລ້ຽງຫອຍນາງລົມ	牡蛎养殖
ການລ້ຽງເຜີ້ງ	养蜂业
ການວັດແທກການຊັກນໍາ	电导分析法
ການວັດແທກການດູດກືນລັງສີອະຕອມ	原子吸收光谱法
ການວັດແທກການສະທ້ອນກັບ	反射测定法
ການວັດແທກຄວາມເປັນພິດ	污物测定试验
ການວັດແທກປະລິມານ້ໍາຕານ	糖量测定法
ການວັດແທກຜົນລົບໄຟຟ້າ	电位滴定法
ການວັດແທກຫົວຫນ່ວຍໄຟຟ້າ	伏安法
ການວັດແທກອຸນຫະພຸມຮ່າງກາຍ	温度记录
ການວັດແທກຮ່າງກາຍ	体尺测量
ການວັດແທກເງົາກະຈາຍນິວເຄຣັຍ	核磁共振波谱学
ການວັດແທກເງົາກະຈາຍລັງສີເອັກສ	x-射线光谱
ການວາງແຜນຊັບພະຍາກອນຂອງອົງກອນ	企业资源计划
ການວາງແຜນນໍາໃຊ້ພື້ນທີ່ດິນ	土地利用规划
ການວາງໄຂ່ປາ	产卵
ການວິເຄາະກະຕຸ້ນນີວຕຣອນ	中子活化分析
ການວິເຄາະຄວາມສ່ຽງ	风险分析
ການວິເຄາະຄຸນນະພາບ	定性分析
ການວິເຄາະດ້ານຕົ້ນທຶນ	成本分析
ການວິເຄາະດ້ານເສດຖະກິດ	经济分析
ການວິເຄາະທາງຈຸລະຊີບວິທະຍາ	微生物学分析
ການວິເຄາະປະລິມານ	定量分析
ການວິເຄາະປັດໄຈການຜະລິດແລະຜົນຜະລິດ	投入产出分析
ການວິເຄາະຜົນຕ່າງຄວາມຮ້ອນ	差热分析
ການວິເຄາະພູມຕ້ານທານແບບລອດຕິງ	免疫印迹法
ການວິເຄາະມູນຄ່າຜົນປະໂຫຍດ	成本收益分析
ການວິເຄາະລະບົບ	系统分析
ການວິເຄາະເຄືອຄ່າຍ	网络分析
ການວິເຄາະເປັນຊ່ວງເວລາ	时间序列分析
ການວິເຄາະແພຈຸລັງ	组织分析
ການວິໄຈຊອກຫາພູມຄຸ້ມກັນດ້ວຍກະແສໄຟຟ້າ	免疫电泳
ການວິໄຈຊອກຫາພູມຄຸ້ມກັນດ້ວຍການນໍາໃຊ້ລັງສີ	放射免疫测定
ການວິໄຈຫາລະດັບພູມຄຸ້ມກັນພະຍາດ	补体结合试验
ການສະທ້ອນກັບ	反射系数
ການສະທ້ອນແສງຂອງພູມຄຸ້ມກັນ	免疫荧光
ການສະສົມສັດ	动物收养
ການສະຫນັບສະຫນູນການຕັດສິນໃຈ	决策支持
ການສະຫຼາຍຕົວຂອງທາດກາຍເຫືຼອງ	溶黄体
ການສັງຊີບ	共生
ການສັງເກດທາງອຸຕຸນິຍົມ	气象观测
ການສັງເຄາະ	合成器
ການສັງເຄາະທາງເຄມີ	化学合成
ການສັງເຄາະທາດຍັບຍັ້ງກີຕິນ	壳质合成抑制剂
ການສັງເຄາະຢູເຣຍໃນສິ່ງທີ່ມີຊີວິດ	尿素生物合成
ການສັນຍະກໍາຕົ້ນໄມ້	树木修补术
ການສັບປ່ຽນສັບພະຍາກອນ	资源替代
ການສັ່ນໄກວ	振动
ການສີດຜົ່ນຫຼັງການເກັບກ່ຽວ	采后喷雾
ການສີດພົ່ນ	喷雾漂移
ການສີດສານເຄມີເຂົ້າຕົ້ນໄມ້	树木注射
ການສຶກສາຄວາມເປັນໄປໄດ້	可行性研究
ການສຶກສາງານ	工作研究
ການສຶກສາດ້ານໂພຊະນາການ	营养教育
ການສຶກສາຜູ້ບໍລິໂພກ	消费者教育
ການສຶກສາຜູ້ໃຫຍ່	成人教育
ການສຶກສາສິ່ງມີຊີວິດຕາມດິນຟ້າອາກາດ	物候学
ການສຶກສາເປັນກໍລະນີ	案例研究
ການສຶກສາແບບຕໍ່ເນື່ອງ	继续教育
ການສືບຂໍ້ມູນຕະຫຼາດ	市场信息
ການສືບຕໍ່ພັນທີ່ບໍ່ເປັນທໍາມະຊາດ	人工更新
ການສືບພັນ	外生殖器
ການສືບພັນໂດຍທໍາມະຊາດ	天然更新
ການສືສານ	传输
ການສື່ສານທາງໄກ	遥感
ການສຸກງອມ	成熟
ການສູນເສຍ	损失
ການສູນເສຍຄວາມຮ້ອນຂອງຮ່າງກາຍ	身体热量损失
ການສູນເສຍຈາກດິນ	土壤损失
ການສູນເສຍຜົນລະປູກ	作物减产
ການສູນເສຍພະລັງງານ	能量损耗
ການສົງເຄາະສັດ	动物福利
ການສົມຮ່ວມກັບຟໍສຟໍຣັສ	磷酸化作用
ການສົ່ງກໍາລັງ	传动装置
ການສົ່ງຂ່ຽນມວນສານ	质量传递
ການສົ່ງຄ່ຽນຄວາມຮ້ອນດ້ວຍທາດແຫຼວ	平流
ການສົ່ງຜ່ານປະສາດ	神经递质
ການສົ່ງອອກ	出口
ການສົ່ງເສີມການຂາຍ	促销
ການສ່ອງດ້ວຍກ້ອງຈຸລະທັດ	显微术
ການສ້ອມແປງ	维修
ການສ້າງກະດູກ	骨生成
ການສ້າງຄວາມສາມາດ	能力建设
ການສ້າງຄີໂຕນ	生酮作用
ການສ້າງຈຸລັງສືບເຊື້ອ	配子发育
ການສ້າງຕັ້ງພື້ນທີ່ກະສິກໍາ	创建农场
ການສ້າງຕົວຂອງພືດ	植物定植
ການສ້າງຕົວຂອງລໍາ	作物生根
ການສ້າງທາດລິກນິນ	木质化
ການສ້າງທີ່ຢູ່ອາໃສໃນຊົນນະບົດ	农舍
ການສ້າງທຶນ	资本构成
ການສ້າງພາບວີດີໂອ	制作剪辑
ການສ້າງພາບວີດີໂອ	建立剪辑
ການສ້າງພູມຕ້ານທານເພື່ອປ້ອງກັນພະຍາດ	主动免疫
ການສ້າງພູມຕ້ານທານເພື່ອປ້ອງກັນພະຍາດ	交叉免疫性
ການສ້າງພູມຕ້ານທານເພື່ອປ້ອງກັນພະຍາດ	保护性免疫
ການສ້າງພູມຕ້ານທານເພື່ອປ້ອງກັນພະຍາດ	免疫
ການສ້າງພູມຕ້ານທານເພື່ອປ້ອງກັນພະຍາດ	免疫系统
ການສ້າງພູມຕ້ານທານເພື່ອປ້ອງກັນພະຍາດ	天然免疫
ການສ້າງພູມຕ້ານທານເພື່ອປ້ອງກັນພະຍາດ	天然免疫耐受性
ການສ້າງພູມຕ້ານທານເພື່ອປ້ອງກັນພະຍາດ	局部免疫
ການສ້າງພູມຕ້ານທານເພື່ອປ້ອງກັນພະຍາດ	带虫免疫
ການສ້າງພູມຕ້ານທານເພື່ອປ້ອງກັນພະຍາດ	特异性免疫
ການສ້າງພູມຕ້ານທານເພື່ອປ້ອງກັນພະຍາດ	自身免疫
ການສ້າງມາດຖານ	标准化
ການສ້າງລາຄາ	价格形成
ການສ້າງສະປໍ	孢子形成
ການສ້າງສະເປີມ	精子发生
ການສ້າງສະເປີມ	精子释出
ການສ້າງສູດ	球状
ການສ້າງອະສຸຈິ	精子
ການສ້າງອະສຸຈິ	精母细胞
ການສ້າງອານານິຄົມ	定居能力
ການສ້າງຮັງ	筑巢
ການສ້າງຮູບພາບ	图像处理
ການສ້າງຮູບພາບ	影像处理
ການສ້າງຮູບພາບ	映像
ການສ້າງເກສອນຜູ້	开花
ການສ້າງເກສອນຜູ້	开花的
ການສ້າງເກສອນຜູ້	花期
ການສ້າງເກສອນຜູ້	花蕾形成
ການສ້າງເຊນລູໂລສ	火棉胶
ການສ້າງເຊນລູໂລສ	硝化纤维
ການສ້າງເຊນລູໂລສ	硝酸纤维素
ການສ້າງເຊນລູໂລສ	绵火药
ການສ້າງເຊນລູໂລສ	赛璐珞
ການສ້າງເນື້ອເຍື້ອບໍ່ສົມບູນ	器官发育不全
ການສ້າງເມັດເລືອດ	血细胞生成
ການສ້າງເມັດເລືອດຂາວ	白细胞生成
